Genome,File_type,Sequence_type,Number_of_sequences,Size,min,mean,max
GCA_002506515.1,FASTA,Protein,1958,535226,21,273.4,1349
GCA_002506535.1,FASTA,Protein,2292,679425,23,296.4,2934
GCA_002506585.1,FASTA,Protein,2677,793802,31,296.5,2365
GCA_002506595.1,FASTA,Protein,1539,431760,25,280.5,1403
GCA_002506605.1,FASTA,Protein,922,250195,27,271.4,1198
GCA_002506645.1,FASTA,Protein,1728,403873,21,233.7,1264
GCA_002506665.1,FASTA,Protein,1673,389252,27,232.7,1662
GCA_002506705.1,FASTA,Protein,1028,351946,22,342.4,2167
GCA_002506745.1,FASTA,Protein,1755,501252,28,285.6,4043
GCA_002506755.1,FASTA,Protein,1114,389679,29,349.8,4706
GCA_002506825.1,FASTA,Protein,1141,408440,33,358,2984
GCA_002506875.1,FASTA,Protein,1563,553802,21,354.3,3213
GCA_002506905.1,FASTA,Protein,1531,425544,31,278,1894
GCA_002507085.1,FASTA,Protein,1015,261603,28,257.7,930
GCA_002507125.1,FASTA,Protein,1140,325336,24,285.4,2017
GCA_002507175.1,FASTA,Protein,1263,454244,30,359.7,4068
GCA_002507205.1,FASTA,Protein,2393,685426,25,286.4,2101
GCA_002507245.1,FASTA,Protein,1705,472705,22,277.2,3364
GCA_002507425.1,FASTA,Protein,1515,517411,22,341.5,3210
GCA_002507545.1,FASTA,Protein,2665,708761,28,266,1611
GCA_002508315.1,FASTA,Protein,1400,377446,23,269.6,1272
GCA_002508425.1,FASTA,Protein,2517,715822,23,284.4,2167
GCA_002508495.1,FASTA,Protein,2069,553273,22,267.4,4081
GCA_002508545.1,FASTA,Protein,2497,695683,20,278.6,1966
GCA_002508635.1,FASTA,Protein,2085,542218,20,260.1,1605
GCA_002508705.1,FASTA,Protein,2847,792189,30,278.3,2547
GCA_002509165.1,FASTA,Protein,1203,341679,20,284,2368
GCA_002509225.1,FASTA,Protein,959,299596,22,312.4,2324
GCA_002509325.1,FASTA,Protein,2446,706943,22,289,1838
GCA_002509405.1,FASTA,Protein,1237,360564,21,291.5,1858
GCA_002509485.1,FASTA,Protein,1918,476545,20,248.5,2757
GCA_002509495.1,FASTA,Protein,2384,639297,20,268.2,1915
GCA_002509665.1,FASTA,Protein,3297,747499,22,226.7,1860
GCA_002509745.1,FASTA,Protein,2325,615861,22,264.9,2650
GCA_002683155.1,FASTA,Protein,775,278471,23,359.3,3655
GCA_002685315.1,FASTA,Protein,1056,346329,22,328,2532
GCA_002685415.1,FASTA,Protein,1473,513126,25,348.4,3179
GCA_002685855.1,FASTA,Protein,1084,290921,23,268.4,2751
GCA_002685895.1,FASTA,Protein,1360,512857,27,377.1,2811
GCA_002686195.1,FASTA,Protein,4842,1246551,20,257.4,3838
GCA_002686215.1,FASTA,Protein,2168,573151,20,264.4,6428
GCA_002686295.1,FASTA,Protein,940,267813,22,284.9,3040
GCA_002686315.1,FASTA,Protein,1341,355399,22,265,5393
GCA_002686355.1,FASTA,Protein,534,127616,25,239,1332
GCA_002686525.1,FASTA,Protein,1188,432556,25,364.1,3174
GCA_002686855.1,FASTA,Protein,1319,375062,22,284.4,4445
GCA_002687075.1,FASTA,Protein,1836,693897,20,377.9,4745
GCA_002687185.1,FASTA,Protein,1891,490633,21,259.5,2425
GCA_002687255.1,FASTA,Protein,1052,238205,20,226.4,1930
GCA_002687275.1,FASTA,Protein,1338,342621,23,256.1,3743
GCA_002687355.1,FASTA,Protein,872,294295,22,337.5,2641
GCA_002687735.1,FASTA,Protein,630,171208,21,271.8,6320
GCA_002687775.1,FASTA,Protein,642,160142,32,249.4,1103
GCA_002687795.1,FASTA,Protein,1007,283833,21,281.9,2149
GCA_002687815.1,FASTA,Protein,1011,257652,24,254.8,1935
GCA_002687825.1,FASTA,Protein,1002,244117,30,243.6,1829
GCA_002687935.1,FASTA,Protein,763,209501,21,274.6,1637
GCA_002688015.1,FASTA,Protein,726,183374,32,252.6,2173
GCA_002688035.1,FASTA,Protein,809,231315,28,285.9,2840
GCA_002688095.1,FASTA,Protein,759,186134,20,245.2,2075
GCA_002688165.1,FASTA,Protein,767,194768,21,253.9,1619
GCA_002688265.1,FASTA,Protein,1079,323203,26,299.5,3523
GCA_002688315.1,FASTA,Protein,1050,281420,34,268,3485
GCA_002688325.1,FASTA,Protein,782,189280,27,242,2283
GCA_002688335.1,FASTA,Protein,1396,312641,26,224,1643
GCA_002688355.1,FASTA,Protein,1206,301434,30,249.9,2484
GCA_002688395.1,FASTA,Protein,826,199361,25,241.4,2314
GCA_002688415.1,FASTA,Protein,1011,249232,29,246.5,2063
GCA_002688775.1,FASTA,Protein,1142,314485,23,275.4,2079
GCA_002688825.1,FASTA,Protein,1542,575983,20,373.5,3976
GCA_002688875.1,FASTA,Protein,1566,372739,26,238,3468
GCA_002688925.1,FASTA,Protein,968,258735,30,267.3,1461
GCA_002688965.1,FASTA,Protein,2217,598474,25,269.9,3336
GCA_002689105.1,FASTA,Protein,1532,571542,20,373.1,4319
GCA_002689345.1,FASTA,Protein,1435,537568,22,374.6,3185
GCA_002689565.1,FASTA,Protein,1663,516677,21,310.7,2773
GCA_002689985.1,FASTA,Protein,572,134363,21,234.9,1432
GCA_002690445.1,FASTA,Protein,8615,2060375,20,239.2,7335
GCA_002692465.1,FASTA,Protein,1289,480990,22,373.1,3526
GCA_002692685.1,FASTA,Protein,999,360148,35,360.5,3050
GCA_002693165.1,FASTA,Protein,1020,290296,27,284.6,1495
GCA_002694245.1,FASTA,Protein,1710,631888,25,369.5,4668
GCA_002694525.1,FASTA,Protein,1365,509187,22,373,4604
GCA_002694585.1,FASTA,Protein,1492,544530,24,365,4570
GCA_002696315.1,FASTA,Protein,1451,548544,26,378,3931
GCA_002697065.1,FASTA,Protein,847,297981,28,351.8,3004
GCA_002697105.1,FASTA,Protein,1161,436313,32,375.8,2952
GCA_002697705.1,FASTA,Protein,1343,508821,24,378.9,6538
GCA_002698145.1,FASTA,Protein,1780,668547,22,375.6,3648
GCA_002698225.1,FASTA,Protein,1059,380944,22,359.7,2731
GCA_002698885.1,FASTA,Protein,910,234075,26,257.2,1371
GCA_002699425.1,FASTA,Protein,1629,614056,20,377,3189
GCA_002699515.1,FASTA,Protein,1389,508810,23,366.3,4249
GCA_002701145.1,FASTA,Protein,1436,514984,22,358.6,3000
GCA_002701965.1,FASTA,Protein,1183,446454,21,377.4,3348
GCA_002702945.1,FASTA,Protein,1798,628961,20,349.8,2784
GCA_002702985.1,FASTA,Protein,1334,508360,21,381.1,4987
GCA_002704515.1,FASTA,Protein,1380,520736,28,377.3,4596
GCA_002706065.1,FASTA,Protein,1629,605020,31,371.4,3200
GCA_002706615.1,FASTA,Protein,1565,603416,20,385.6,4690
GCA_002707335.2,FASTA,Protein,1096,415287,20,378.9,4692
GCA_002708015.1,FASTA,Protein,1387,522277,25,376.6,4568
GCA_002708385.1,FASTA,Protein,973,361018,22,371,4051
GCA_002708695.1,FASTA,Protein,1529,563290,26,368.4,4589
GCA_002709705.1,FASTA,Protein,1305,490460,20,375.8,4667
GCA_002710015.1,FASTA,Protein,1443,543711,20,376.8,4666
GCA_002710205.1,FASTA,Protein,1446,533056,24,368.6,5287
GCA_002712285.1,FASTA,Protein,1415,543636,31,384.2,4611
GCA_002712575.1,FASTA,Protein,1398,506147,27,362.1,3227
GCA_002712645.1,FASTA,Protein,1382,492309,26,356.2,2981
GCA_002713185.1,FASTA,Protein,1189,428800,23,360.6,3161
GCA_002713205.1,FASTA,Protein,1002,287013,30,286.4,1477
GCA_002713325.1,FASTA,Protein,1592,426542,20,267.9,3177
GCA_002713585.1,FASTA,Protein,1428,549238,24,384.6,4394
GCA_002714305.1,FASTA,Protein,1371,519392,36,378.8,3188
GCA_002714745.1,FASTA,Protein,1085,385727,21,355.5,2662
GCA_002715545.1,FASTA,Protein,1715,623749,23,363.7,10178
GCA_002715725.1,FASTA,Protein,1847,617829,23,334.5,3215
GCA_002716085.1,FASTA,Protein,1403,501572,30,357.5,3748
GCA_002717835.1,FASTA,Protein,1064,387590,27,364.3,4482
GCA_002718195.1,FASTA,Protein,1674,625223,24,373.5,4521
GCA_002718215.1,FASTA,Protein,1321,504806,28,382.1,4538
GCA_002718695.1,FASTA,Protein,1178,433323,22,367.8,4989
GCA_002718915.1,FASTA,Protein,802,283466,27,353.4,6900
GCA_002718995.2,FASTA,Protein,1320,470701,26,356.6,3174
GCA_002719395.1,FASTA,Protein,1425,559879,24,392.9,4771
GCA_002719475.1,FASTA,Protein,1537,603986,20,393,3451
GCA_002719615.1,FASTA,Protein,1467,530225,35,361.4,5503
GCA_002719815.1,FASTA,Protein,1291,503966,25,390.4,4549
GCA_002720055.1,FASTA,Protein,1370,498632,32,364,4158
GCA_002720095.2,FASTA,Protein,1500,573559,30,382.4,4248
GCA_002720115.1,FASTA,Protein,1760,648148,24,368.3,4679
GCA_002720275.1,FASTA,Protein,1516,579741,25,382.4,3245
GCA_002722135.1,FASTA,Protein,1658,615649,23,371.3,4570
GCA_002722595.1,FASTA,Protein,1348,525660,41,390,5067
GCA_002722615.1,FASTA,Protein,1542,589104,20,382,5146
GCA_002722695.1,FASTA,Protein,1354,516956,28,381.8,4605
GCA_002722735.1,FASTA,Protein,1235,443599,30,359.2,3161
GCA_002723045.1,FASTA,Protein,797,278773,20,349.8,3296
GCA_002723635.1,FASTA,Protein,1140,427102,28,374.7,4572
GCA_002724775.1,FASTA,Protein,1207,401205,23,332.4,5403
GCA_002724815.1,FASTA,Protein,1560,588121,23,377,4577
GCA_002725275.1,FASTA,Protein,1382,531230,23,384.4,3825
GCA_002725315.1,FASTA,Protein,1274,451423,21,354.3,3565
GCA_002725475.1,FASTA,Protein,1240,483445,21,389.9,5507
GCA_002725495.1,FASTA,Protein,803,203073,23,252.9,4054
GCA_002726275.1,FASTA,Protein,1073,395306,24,368.4,3007
GCA_002726395.1,FASTA,Protein,1565,576178,22,368.2,3817
GCA_002726495.1,FASTA,Protein,1438,550029,20,382.5,4613
GCA_002726845.1,FASTA,Protein,1307,473213,29,362.1,2921
GCA_002726865.1,FASTA,Protein,2003,565011,26,282.1,3325
GCA_002727275.1,FASTA,Protein,1234,441055,27,357.4,3878
GCA_002727485.1,FASTA,Protein,1173,449982,22,383.6,3170
GCA_002727515.1,FASTA,Protein,1562,601740,21,385.2,4693
GCA_002727675.1,FASTA,Protein,1330,498285,36,374.7,3196
GCA_002727695.1,FASTA,Protein,1494,541422,21,362.4,3419
GCA_002728035.1,FASTA,Protein,1545,584796,21,378.5,4615
GCA_002728275.1,FASTA,Protein,1390,433619,25,312,2191
GCA_002728565.1,FASTA,Protein,1227,439848,24,358.5,2861
GCA_002729095.1,FASTA,Protein,1713,640898,20,374.1,3389
GCA_002730095.1,FASTA,Protein,1164,408905,27,351.3,2881
GCA_002730325.1,FASTA,Protein,1452,344144,23,237,1267
GCA_002730445.1,FASTA,Protein,1114,413519,21,371.2,4198
GCA_002731115.1,FASTA,Protein,561,148545,28,264.8,2022
GCA_002731195.1,FASTA,Protein,1032,354176,24,343.2,2195
GCA_002731395.1,FASTA,Protein,1253,465748,21,371.7,3200
GCA_002731655.1,FASTA,Protein,989,318126,32,321.7,2254
GCA_002731905.1,FASTA,Protein,945,309440,31,327.4,2287
GCA_002737445.1,FASTA,Protein,1461,358212,21,245.2,1264
GCA_002737455.1,FASTA,Protein,1444,347708,20,240.8,1266
GCA_002762705.1,FASTA,Protein,1850,554338,20,299.6,4899
GCA_002762735.1,FASTA,Protein,833,189648,23,227.7,1617
GCA_002762785.1,FASTA,Protein,1300,360907,32,277.6,3028
GCA_002762795.1,FASTA,Protein,1517,402788,30,265.5,3547
GCA_002762845.1,FASTA,Protein,932,260560,21,279.6,2091
GCA_002762865.1,FASTA,Protein,1227,312802,20,254.9,1400
GCA_002762915.1,FASTA,Protein,896,233234,22,260.3,3469
GCA_002762975.1,FASTA,Protein,1280,338773,27,264.7,2365
GCA_002762985.1,FASTA,Protein,1567,449935,26,287.1,3158
GCA_002763025.1,FASTA,Protein,871,223215,21,256.3,1811
GCA_002763035.1,FASTA,Protein,1085,248634,21,229.2,3796
GCA_002763075.1,FASTA,Protein,1125,279539,27,248.5,3090
GCA_002763085.1,FASTA,Protein,1460,331521,24,227.1,2054
GCA_002763115.1,FASTA,Protein,747,192784,33,258.1,2022
GCA_002763155.1,FASTA,Protein,860,192045,26,223.3,1665
GCA_002763225.1,FASTA,Protein,1170,316118,21,270.2,2511
GCA_002763265.1,FASTA,Protein,1115,307528,30,275.8,6230
GCA_002763335.1,FASTA,Protein,1315,344688,20,262.1,3422
GCA_002763345.1,FASTA,Protein,927,238317,21,257.1,1957
GCA_002778455.1,FASTA,Protein,1185,346095,24,292.1,2183
GCA_002779065.1,FASTA,Protein,1071,279577,21,261,2886
GCA_002779075.1,FASTA,Protein,832,225740,24,271.3,2454
GCA_002779235.1,FASTA,Protein,1006,274492,31,272.9,2363
GCA_002779555.1,FASTA,Protein,1904,403602,20,212,1318
GCA_002779595.1,FASTA,Protein,1056,248702,20,235.5,2577
GCA_002780285.1,FASTA,Protein,698,170972,28,244.9,1269
GCA_002781805.1,FASTA,Protein,1293,290049,26,224.3,1267
GCA_002788515.1,FASTA,Protein,1768,410020,23,231.9,1816
GCA_002789275.1,FASTA,Protein,518,139518,21,269.3,2929
GCA_002789635.1,FASTA,Protein,1170,266192,27,227.5,2917
GCA_002792115.1,FASTA,Protein,1468,406190,22,276.7,4491
GCA_002792635.1,FASTA,Protein,1001,231698,31,231.5,1649
GCA_002792915.1,FASTA,Protein,889,233321,21,262.5,1610
GCA_002825465.1,FASTA,Protein,3610,1073818,20,297.5,4097
GCA_002825515.1,FASTA,Protein,3694,1066167,20,288.6,3545
GCA_002835825.1,FASTA,Protein,3197,774257,20,242.2,4079
GCA_002838935.1,FASTA,Protein,1400,420708,23,300.5,1748
GCA_002839545.1,FASTA,Protein,2288,591861,24,258.7,3354
GCA_002839575.1,FASTA,Protein,2713,738467,24,272.2,1770
GCA_002839605.1,FASTA,Protein,2611,745530,28,285.5,4623
GCA_002839645.1,FASTA,Protein,2815,807268,22,286.8,1963
GCA_002839675.1,FASTA,Protein,2485,716331,31,288.3,4350
GCA_002839705.1,FASTA,Protein,2493,708850,30,284.3,2224
GCA_002855745.1,FASTA,Protein,2042,553113,32,270.9,1801
GCA_002867475.1,FASTA,Protein,1749,515282,23,294.6,4027
GCA_002877855.1,FASTA,Protein,975,275639,23,282.7,1406
GCA_002878135.1,FASTA,Protein,1510,430835,21,285.3,2083
GCA_002897655.1,FASTA,Protein,1431,327266,28,228.7,3457
GCA_002897955.1,FASTA,Protein,2081,520150,20,250,1285
GCA_002898355.1,FASTA,Protein,1947,542389,22,278.6,2870
GCA_002898395.1,FASTA,Protein,1977,512570,21,259.3,1590
GCA_002898655.1,FASTA,Protein,1471,354023,21,240.7,1854
GCA_002899805.1,FASTA,Protein,1808,439206,21,242.9,1874
GCA_002900535.1,FASTA,Protein,2044,501988,21,245.6,1519
GCA_002900555.1,FASTA,Protein,2976,825986,23,277.5,2139
GCA_002923215.1,FASTA,Protein,1986,489892,23,246.7,1248
GCA_002926195.1,FASTA,Protein,2460,613735,21,249.5,2155
GCA_003009755.1,FASTA,Protein,2711,813577,22,300.1,4898
GCA_003009795.1,FASTA,Protein,1087,289630,31,266.4,3629
GCA_003009815.1,FASTA,Protein,831,197754,27,238,3603
GCA_003019535.1,FASTA,Protein,2754,706593,22,256.6,1494
GCA_003019595.1,FASTA,Protein,2533,637695,24,251.8,1257
GCA_003020925.1,FASTA,Protein,2288,634412,30,277.3,2221
GCA_003020945.1,FASTA,Protein,2701,744871,20,275.8,1691
GCA_003020965.1,FASTA,Protein,2986,835303,30,279.7,2044
GCA_003020985.1,FASTA,Protein,2858,795421,24,278.3,2236
GCA_003021005.1,FASTA,Protein,2530,675660,21,267.1,2468
GCA_003021015.1,FASTA,Protein,2839,836903,20,294.8,2321
GCA_003021045.1,FASTA,Protein,2477,713378,23,288,1606
GCA_003021085.1,FASTA,Protein,3627,952303,25,262.6,1769
GCA_003021105.1,FASTA,Protein,2195,589499,26,268.6,1785
GCA_003021175.1,FASTA,Protein,2732,748998,28,274.2,2218
GCA_003021235.1,FASTA,Protein,3683,989473,20,268.7,1626
GCA_003021285.1,FASTA,Protein,2081,559427,22,268.8,1914
GCA_003021305.1,FASTA,Protein,2625,714619,22,272.2,1759
GCA_003021325.1,FASTA,Protein,2311,524804,20,227.1,1149
GCA_003021335.1,FASTA,Protein,1731,423970,21,244.9,1817
GCA_003021655.1,FASTA,Protein,2759,773168,20,280.2,1759
GCA_003021685.1,FASTA,Protein,2702,767253,24,284,1920
GCA_003021705.1,FASTA,Protein,2942,802288,24,272.7,1872
GCA_003021725.1,FASTA,Protein,3199,854572,23,267.1,1848
GCA_003021745.1,FASTA,Protein,2373,607081,21,255.8,1442
GCA_003021755.1,FASTA,Protein,1845,485102,20,262.9,2331
GCA_003021785.1,FASTA,Protein,2444,674087,25,275.8,1773
GCA_003021975.1,FASTA,Protein,2782,736395,24,264.7,1735
GCA_003022005.1,FASTA,Protein,3392,877524,22,258.7,1918
GCA_003022085.1,FASTA,Protein,1647,438734,21,266.4,1975
GCA_003022685.1,FASTA,Protein,2433,617625,20,253.9,1532
GCA_003022725.1,FASTA,Protein,2678,736173,20,274.9,2668
GCA_003022745.1,FASTA,Protein,2078,522184,20,251.3,2286
GCA_003022815.1,FASTA,Protein,1816,414741,21,228.4,1441
GCA_003022845.1,FASTA,Protein,2377,643158,20,270.6,1749
GCA_003022865.1,FASTA,Protein,1745,502381,21,287.9,2554
GCA_003022905.1,FASTA,Protein,1826,422640,21,231.5,1413
GCA_003022925.1,FASTA,Protein,3371,875086,21,259.6,1722
GCA_003022945.1,FASTA,Protein,2771,731511,23,264,1766
GCA_003023165.1,FASTA,Protein,2563,651559,20,254.2,1847
GCA_003023185.1,FASTA,Protein,2247,584450,29,260.1,1333
GCA_003023195.1,FASTA,Protein,3140,932848,20,297.1,4834
GCA_003023405.1,FASTA,Protein,2493,680094,24,272.8,2065
GCA_003023465.1,FASTA,Protein,2781,673586,22,242.2,1971
GCA_003023485.1,FASTA,Protein,1859,455658,20,245.1,1512
GCA_003023535.1,FASTA,Protein,2158,518831,20,240.4,1482
GCA_003023565.1,FASTA,Protein,2965,808692,22,272.7,2032
GCA_003023785.1,FASTA,Protein,2438,682074,20,279.8,1865
GCA_003034855.1,FASTA,Protein,1649,413375,23,250.7,1939
GCA_003056265.1,FASTA,Protein,1941,527374,30,271.7,1594
GCA_003056285.1,FASTA,Protein,1668,430728,26,258.2,1476
GCA_003058365.1,FASTA,Protein,2643,812109,30,307.3,3325
GCA_003086415.1,FASTA,Protein,560,148776,22,265.7,1531
GCA_003086435.1,FASTA,Protein,1928,469777,20,243.7,1153
GCA_003086555.1,FASTA,Protein,1262,297741,21,235.9,1605
GCA_003096235.1,FASTA,Protein,2389,649352,20,271.8,1520
GCA_003096255.1,FASTA,Protein,2711,679613,20,250.7,1770
GCA_003104905.1,FASTA,Protein,3019,876470,26,290.3,3347
GCA_003116855.1,FASTA,Protein,1932,570111,30,295.1,2169
GCA_003133625.1,FASTA,Protein,3015,703226,21,233.2,1883
GCA_003135575.1,FASTA,Protein,2907,686417,23,236.1,2547
GCA_003135935.1,FASTA,Protein,2196,615584,22,280.3,3043
GCA_003136075.1,FASTA,Protein,2595,617133,21,237.8,3278
GCA_003139855.1,FASTA,Protein,2306,545453,22,236.5,1443
GCA_003141335.1,FASTA,Protein,2281,572660,25,251.1,4552
GCA_003141855.1,FASTA,Protein,2677,681331,22,254.5,2303
GCA_003144275.1,FASTA,Protein,3621,1144186,23,316,8817
GCA_003151535.1,FASTA,Protein,3735,850533,25,227.7,2181
GCA_003151735.1,FASTA,Protein,4099,947096,23,231.1,1890
GCA_003152955.1,FASTA,Protein,3351,765986,20,228.6,1265
GCA_003153895.1,FASTA,Protein,2017,539698,20,267.6,2710
GCA_003154335.1,FASTA,Protein,2403,583981,21,243,2930
GCA_003157235.1,FASTA,Protein,2871,571695,21,199.1,1823
GCA_003157895.1,FASTA,Protein,2334,569956,21,244.2,3679
GCA_003158115.1,FASTA,Protein,2469,600772,20,243.3,1694
GCA_003158275.1,FASTA,Protein,2533,552319,21,218,1518
GCA_003160755.1,FASTA,Protein,2352,546835,21,232.5,1594
GCA_003161815.1,FASTA,Protein,2317,509250,21,219.8,1406
GCA_003162115.1,FASTA,Protein,2328,545244,22,234.2,1319
GCA_003162175.1,FASTA,Protein,2085,495262,25,237.5,1233
GCA_003162615.1,FASTA,Protein,3020,739512,20,244.9,2005
GCA_003162655.1,FASTA,Protein,2123,446499,21,210.3,2001
GCA_003164295.1,FASTA,Protein,3652,888000,25,243.2,2762
GCA_003164415.1,FASTA,Protein,2504,615902,21,246,2028
GCA_003164755.1,FASTA,Protein,3049,623759,20,204.6,1823
GCA_003164815.1,FASTA,Protein,3212,825253,23,256.9,1953
GCA_003165195.1,FASTA,Protein,3593,878977,22,244.6,1895
GCA_003166335.1,FASTA,Protein,2712,665366,23,245.3,1603
GCA_003170075.1,FASTA,Protein,1999,557248,22,278.8,4080
GCA_003170935.1,FASTA,Protein,2067,495290,21,239.6,1780
GCA_003176995.1,FASTA,Protein,5405,933821,21,172.8,1451
GCA_003193815.1,FASTA,Protein,786,222914,24,283.6,1940
GCA_003193925.1,FASTA,Protein,1279,462889,32,361.9,2846
GCA_003194425.1,FASTA,Protein,1394,431073,28,309.2,3725
GCA_003194435.1,FASTA,Protein,1870,543413,29,290.6,3987
GCA_003194445.1,FASTA,Protein,3903,1004609,20,257.4,3893
GCA_003229935.1,FASTA,Protein,2119,497483,20,234.8,1281
GCA_003230355.1,FASTA,Protein,1626,388468,20,238.9,1538
GCA_003251955.1,FASTA,Protein,1783,503239,20,282.2,1389
GCA_003266065.1,FASTA,Protein,2006,548582,20,273.5,2603
GCA_003266075.1,FASTA,Protein,1965,538602,20,274.1,3297
GCA_003266105.1,FASTA,Protein,1875,544272,22,290.3,3341
GCA_003266145.1,FASTA,Protein,1723,524418,24,304.4,2640
GCA_003266165.1,FASTA,Protein,1741,494548,20,284.1,6686
GCA_003298465.1,FASTA,Protein,5681,1540075,23,271.1,1763
GCA_003315655.1,FASTA,Protein,2209,442049,21,200.1,2075
GCA_003315675.1,FASTA,Protein,2051,486263,23,237.1,1576
GCA_003331425.1,FASTA,Protein,1561,377683,30,241.9,1265
GCA_003336485.1,FASTA,Protein,3476,915154,20,263.3,2015
GCA_003344655.1,FASTA,Protein,1587,418789,20,263.9,1500
GCA_003345545.1,FASTA,Protein,2638,804575,21,305,5110
GCA_003345555.1,FASTA,Protein,2206,679378,21,308,2745
GCA_003345595.1,FASTA,Protein,2633,815487,22,309.7,3875
GCA_003352285.1,FASTA,Protein,1968,519716,30,264.1,2954
GCA_003491285.1,FASTA,Protein,2163,622467,32,287.8,1886
GCA_003491305.1,FASTA,Protein,2372,677829,31,285.8,1726
GCA_003550345.1,FASTA,Protein,1443,428051,20,296.6,1723
GCA_003550625.1,FASTA,Protein,798,222251,22,278.5,5955
GCA_003551065.1,FASTA,Protein,1484,447216,20,301.4,3754
GCA_003551125.1,FASTA,Protein,511,121830,20,238.4,1321
GCA_003551265.1,FASTA,Protein,3169,882471,21,278.5,3329
GCA_003551675.1,FASTA,Protein,2082,706333,22,339.3,3173
GCA_003551945.1,FASTA,Protein,2671,729963,20,273.3,3414
GCA_003552325.1,FASTA,Protein,2498,691506,20,276.8,1869
GCA_003552585.1,FASTA,Protein,1838,563872,20,306.8,3632
GCA_003552885.1,FASTA,Protein,1895,497973,20,262.8,1516
GCA_003553085.1,FASTA,Protein,1757,562518,20,320.2,3110
GCA_003553825.1,FASTA,Protein,594,140189,22,236,1199
GCA_003553905.1,FASTA,Protein,823,213527,23,259.4,5047
GCA_003554115.1,FASTA,Protein,1742,446255,21,256.2,1512
GCA_003554235.1,FASTA,Protein,735,173506,21,236.1,2706
GCA_003554465.1,FASTA,Protein,1016,252056,24,248.1,3146
GCA_003554605.1,FASTA,Protein,2595,745149,20,287.1,2440
GCA_003554845.1,FASTA,Protein,742,195743,29,263.8,4076
GCA_003554965.1,FASTA,Protein,2157,707820,20,328.2,4317
GCA_003555025.1,FASTA,Protein,1449,431105,25,297.5,3822
GCA_003555325.1,FASTA,Protein,2020,567106,20,280.7,2815
GCA_003555395.1,FASTA,Protein,1958,625096,22,319.3,3548
GCA_003555465.1,FASTA,Protein,761,195720,20,257.2,4421
GCA_003557905.1,FASTA,Protein,1597,481869,20,301.7,2608
GCA_003558085.1,FASTA,Protein,1965,521530,23,265.4,2083
GCA_003558235.1,FASTA,Protein,910,248157,21,272.7,1566
GCA_003558335.1,FASTA,Protein,1676,426387,21,254.4,1314
GCA_003559215.1,FASTA,Protein,4140,1131045,22,273.2,1807
GCA_003559395.1,FASTA,Protein,980,274044,20,279.6,3971
GCA_003560545.1,FASTA,Protein,1111,282485,20,254.3,2793
GCA_003560595.1,FASTA,Protein,1848,580916,20,314.3,2846
GCA_003560875.1,FASTA,Protein,1134,327614,27,288.9,2107
GCA_003561665.1,FASTA,Protein,2347,620307,22,264.3,4108
GCA_003561825.1,FASTA,Protein,1345,330798,22,245.9,1493
GCA_003562145.1,FASTA,Protein,821,203493,20,247.9,2273
GCA_003563585.1,FASTA,Protein,720,164981,20,229.1,1488
GCA_003564925.1,FASTA,Protein,1072,270853,21,252.7,2126
GCA_003565715.1,FASTA,Protein,2114,590221,20,279.2,2210
GCA_003568775.1,FASTA,Protein,661,180108,34,272.5,1294
GCA_003569705.1,FASTA,Protein,1869,431136,23,230.7,1688
GCA_003584625.1,FASTA,Protein,1596,454274,32,284.6,2220
GCA_003589585.1,FASTA,Protein,2394,597458,20,249.6,1880
GCA_003599055.1,FASTA,Protein,1323,355827,25,269,4425
GCA_003599145.1,FASTA,Protein,1483,408111,28,275.2,4937
GCA_003601535.1,FASTA,Protein,2036,504788,20,247.9,1527
GCA_003601605.1,FASTA,Protein,1290,332312,28,257.6,1300
GCA_003601695.1,FASTA,Protein,1348,359966,20,267,1571
GCA_003601725.1,FASTA,Protein,1311,352051,24,268.5,1280
GCA_003601775.1,FASTA,Protein,1612,458665,23,284.5,2418
GCA_003601785.1,FASTA,Protein,1011,251693,23,249,1184
GCA_003601795.1,FASTA,Protein,2240,568833,20,253.9,3049
